"E","\rho_p/\rho_t","\varphi"
0.7,1.720792187872385e6,8.25355915903587e-7
0.7,2.7272721574719665e6,5.080109503728668e-7
0.8,1.9918629484450245,0.4087175428841649
0.8,3.5943546213063593,0.22365164160148301
0.8,6.166563412133365,0.13606337742695504
0.8,10.207961417570793,0.08619791986191064
0.8,16.57960230382885,0.05570239159849132
0.8,26.65711794317668,0.03616737795895493
0.8,42.61647393150987,0.023405722249744267
0.8,67.90285749138066,0.015058514726981855
0.8,107.9744941340186,0.009634087553114738
0.8,171.48092705744446,0.006136304995848565
0.8,272.130077152306,0.003895933634578977
0.8,431.647126810012,0.002468048869894977
0.8,684.463920604005,0.0015615299784632018
0.8,1085.1511006485025,0.0009869930549662263
0.8,1720.1972087986994,0.0006234627512151625
0.8,2726.6772914421417,0.0003936642120740806
0.8,4321.840617124351,0.00024851600506573766
0.8,6850.004042974315,0.00015685778462341915
0.8,10856.8730005049,0.00009897457342875778
0.8,17207.332307543413,0.00006246183885854125
0.8,27272.132014986328,0.00003941312674734644
0.8,43223.76454388652,0.00002489012563701939
0.8,68505.3983403546,0.00001567476563266777
0.8,108574.08763508241,9.879555094476482e-6
0.8,172078.68052607527,6.258573354084328e-6
0.8,272726.677487201,3.828803834470098e-6
0.8,432243.0027046031,2.413665386478661e-6
0.8,685059.3406273602,1.5665809713810493e-6
0.8,1.0857462335436495e6,9.935070665137358e-7
0.8,1.720792162434824e6,6.266012767293606e-7
0.8,2.7272721320344205e6,4.6418583505639064e-7
0.9,1.9868605611780485,0.27104173401034526
0.9,3.5663125380985914,0.15360545196499523
0.9,6.129427993780401,0.0899475196591898
0.9,10.171219051309425,0.05398477043115807
0.9,16.544487755476386,0.0333002573276535
0.9,26.623232828750243,0.020922498096334903
0.9,42.583389647560445,0.013257213764046599
0.9,67.87027931369306,0.008419108108714138
0.9,107.94223392415513,0.005344069679844339
0.9,171.44886646560383,0.0033874711409184253
0.9,272.09814217036325,0.00214442101966458
0.9,431.6152708687943,0.0013561701598543573
0.9,684.4321144946698,0.0008568917897800427
0.9,1085.11932589849,0.0005412779263860586
0.9,1720.1654536217798,0.0003417966142889929
0.9,2726.6455506687253,0.00021577502235182905
0.9,4321.808882894429,0.0001361937903152583
0.9,6849.972313332004,0.00008590899868456496
0.9,10856.84127404945,0.000054259647983446255
0.9,17207.300583078173,0.000034236886954199175
0.9,27272.10029176527,0.000021585792849543865
0.9,43223.732821439546,0.000013634289812207243
0.9,68505.36661825322,8.605157353443534e-6
0.9,108574.05591334002,5.424017554840033e-6
0.9,172078.64880456091,3.4070399318327785e-6
0.9,272726.64576582744,2.1867124599608595e-6
0.9,432242.97098331264,1.259644498376295e-6
0.9,685059.3089061164,8.588410296616785e-7
0.9,1.085746201822428e6,5.414100502210302e-7
0.9,1.7207927576356917e6,3.49852522317917e-7
0.9,2.7272727272428847e6,2.1663246295168433e-7
2.,1.8466877892504463,2.7004720166490213
2.,3.6906800918494156,0.7475760529806295
2.,6.281694337849984,0.3783092832019783
2.,10.317915534041921,0.21430716667330407
2.,16.68426641284951,0.12735668583849147
2.,26.75826165400006,0.07757668405372578
2.,42.715405884625824,0.047915829455528296
2.,68.0004104474572,0.029839224174433174
2.,108.07118596785588,0.01867465046977491
2.,171.57707948342795,0.011723142098113733
